"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","16-Feb-2017","        784.30","        785.00","        798.50","        780.25","        793.50","        792.50","        792.59","    2256205","          1788243307.40","      35720","    1227400","         54.40"
"KOTAKBANK","EQ","17-Feb-2017","        792.50","        805.00","        811.00","        790.10","        796.00","        796.50","        798.84","    4259173","          3402412357.35","      61234","    2636934","         61.91"
"KOTAKBANK","EQ","20-Feb-2017","        796.50","        801.90","        805.00","        795.00","        795.00","        797.05","        798.94","     847401","           677025151.75","      34734","     410464","         48.44"
"KOTAKBANK","EQ","21-Feb-2017","        797.05","        799.15","        800.60","        791.10","        798.95","        797.90","        795.50","     632134","           502859507.80","      16496","     298997","         47.30"
"KOTAKBANK","EQ","22-Feb-2017","        797.90","        799.80","        804.45","        793.75","        795.60","        795.85","        798.94","    1106511","           884038488.80","      32293","     724246","         65.45"
"KOTAKBANK","EQ","23-Feb-2017","        795.85","        798.50","        814.40","        792.50","        809.55","        810.95","        807.21","    4575547","          3693421781.00","      62005","    3252686","         71.09"
"KOTAKBANK","EQ","27-Feb-2017","        810.95","        807.50","        812.50","        795.55","        798.45","        800.50","        802.17","    2381678","          1910517293.10","      44534","    1928829","         80.99"
"KOTAKBANK","EQ","28-Feb-2017","        800.50","        801.90","        808.45","        798.80","        803.00","        802.10","        802.56","     972189","           780236863.25","      20354","     663729","         68.27"
"KOTAKBANK","EQ","01-Mar-2017","        802.10","        802.10","        827.20","        802.05","        823.95","        824.15","        817.77","    2968583","          2427629212.00","      40174","    1971515","         66.41"
"KOTAKBANK","EQ","02-Mar-2017","        824.15","        827.50","        828.70","        812.75","        816.05","        816.15","        821.74","    4455373","          3661153166.20","      43275","    3755391","         84.29"
"KOTAKBANK","EQ","03-Mar-2017","        816.15","        816.00","        817.00","        803.00","        813.20","        809.50","        808.98","    1317035","          1065455465.20","      62620","     786863","         59.75"
"KOTAKBANK","EQ","06-Mar-2017","        809.50","        812.90","        822.20","        811.10","        818.50","        818.95","        818.28","    1439574","          1177970472.60","      19760","    1129485","         78.46"
"KOTAKBANK","EQ","07-Mar-2017","        818.95","        820.00","        821.00","        814.00","        817.10","        817.00","        818.56","     949754","           777428038.20","      25279","     615340","         64.79"
"KOTAKBANK","EQ","08-Mar-2017","        817.00","        823.05","        838.95","        819.20","        824.00","        824.90","        827.86","    3815129","          3158375533.05","      62716","    1474466","         38.65"
"KOTAKBANK","EQ","09-Mar-2017","        824.90","        826.00","        827.80","        820.00","        825.65","        825.45","        823.68","    1597549","          1315863637.35","      25223","    1142749","         71.53"
"KOTAKBANK","EQ","10-Mar-2017","        825.45","        835.05","        838.90","        826.15","        828.70","        828.90","        830.01","    1352797","          1122839241.00","      23733","     610310","         45.11"
"KOTAKBANK","EQ","14-Mar-2017","        828.90","        843.00","        851.45","        832.00","        837.10","        836.15","        836.89","    3116342","          2608026043.25","      55319","    2500174","         80.23"
"KOTAKBANK","EQ","15-Mar-2017","        836.15","        837.00","        848.45","        835.15","        846.20","        844.15","        842.58","    1718310","          1447814545.85","      39274","    1249231","         72.70"
"KOTAKBANK","EQ","16-Mar-2017","        844.15","        849.20","        856.35","        849.20","        851.45","        851.40","        852.52","    1261745","          1075666091.80","      33037","     905382","         71.76"
"KOTAKBANK","EQ","17-Mar-2017","        851.40","        852.95","        854.45","        842.55","        851.00","        848.25","        847.99","    4646494","          3940196484.90","      51846","    4129559","         88.87"
"KOTAKBANK","EQ","20-Mar-2017","        848.25","        855.00","        862.00","        848.00","        855.90","        854.60","        854.84","    1592288","          1361145779.45","      41814","     975771","         61.28"
"KOTAKBANK","EQ","21-Mar-2017","        854.60","        855.00","        861.40","        850.95","        859.20","        859.55","        858.97","    1458329","          1252654383.65","      25450","    1011358","         69.35"
"KOTAKBANK","EQ","22-Mar-2017","        859.55","        853.00","        864.90","        848.50","        862.65","        862.20","        861.57","    9354327","          8059388108.85","      45268","    8719844","         93.22"
"KOTAKBANK","EQ","23-Mar-2017","        862.20","        863.15","        873.50","        862.05","        864.70","        868.15","        867.94","    1610154","          1397520471.85","      62123","     956908","         59.43"
"KOTAKBANK","EQ","24-Mar-2017","        868.15","        871.00","        886.40","        863.90","        878.45","        879.35","        873.35","    2280029","          1991272845.50","      32600","    1596829","         70.04"
"KOTAKBANK","EQ","27-Mar-2017","        879.35","        879.35","        880.00","        858.70","        865.30","        871.15","        867.64","    1999306","          1734685772.00","      57207","    1348133","         67.43"
"KOTAKBANK","EQ","28-Mar-2017","        871.15","        877.50","        879.95","        856.00","        860.00","        859.45","        868.10","    3049130","          2646935145.10","      53692","    2311911","         75.82"
"KOTAKBANK","EQ","29-Mar-2017","        859.45","        864.10","        864.75","        852.55","        862.50","        857.60","        856.21","    2483787","          2126642392.00","      50493","    1763371","         71.00"
"KOTAKBANK","EQ","30-Mar-2017","        857.60","        862.50","        871.95","        859.35","        861.00","        865.15","        865.60","    3534385","          3059369281.35","      82190","    2325055","         65.78"
"KOTAKBANK","EQ","31-Mar-2017","        865.15","        865.00","        880.00","        862.05","        871.85","        872.20","        873.45","    2586431","          2259116894.20","      90040","    1794189","         69.37"
"KOTAKBANK","EQ","03-Apr-2017","        872.20","        877.00","        879.80","        871.00","        874.10","        875.95","        876.09","    1365426","          1196237489.65","      36909","     980751","         71.83"
"KOTAKBANK","EQ","05-Apr-2017","        875.95","        880.00","        896.60","        877.60","        887.90","        889.85","        887.56","    2006328","          1780746338.85","      55746","    1356949","         67.63"
"KOTAKBANK","EQ","06-Apr-2017","        889.85","        885.00","        897.50","        883.70","        893.00","        894.35","        890.01","    1988350","          1769648606.70","      26845","    1342549","         67.52"
"KOTAKBANK","EQ","07-Apr-2017","        894.35","        890.00","        893.20","        870.00","        873.00","        873.10","        879.52","    1612677","          1418380354.55","      67385","    1121449","         69.54"
"KOTAKBANK","EQ","10-Apr-2017","        873.10","        877.70","        879.90","        867.50","        876.35","        877.35","        873.96","     945515","           826345436.85","      19490","     472783","         50.00"
"KOTAKBANK","EQ","11-Apr-2017","        877.35","        872.70","        889.00","        871.10","        880.00","        881.05","        880.67","    1400544","          1233411760.75","      31596","     843342","         60.22"
"KOTAKBANK","EQ","12-Apr-2017","        881.05","        881.00","        883.45","        873.60","        877.10","        879.40","        878.56","    1088987","           956744422.35","      23321","     754035","         69.24"
"KOTAKBANK","EQ","13-Apr-2017","        879.40","        879.00","        884.00","        872.50","        877.50","        879.50","        880.09","     937868","           825405400.10","      44105","     643900","         68.66"
